"Seviye","Kelime","Tür","Anlam","Cümle"
"A1 1 S","name","noun","isim, ad","What is your name? Adın nedir?"
"A1 1 S","new","adjective","yeni","I bought a new phone. Yeni bir telefon satın aldım."
"A1 1 S","next to","preposition","bitişiğinde, yanında","The bank is next to the shop. Banka dükkanın bitişiğinde."
"A1 1 S","nice","adjective","güzel, hoş","It is a very nice day. Çok hoş bir gün."
"A1 1 S","Nick","noun","özel isim (Nick)","Nick is playing football. Nick futbol oynuyor."
"A1 1 S","night","noun","gece","Good night! İyi geceler!"
"A1 1 S","no","adverb + determiner","hayır / hiç, yok","No, I don't want to go. Hayır, gitmek istemiyorum."
"A1 1 S","nose","noun","burun","The dog has a cold nose. Köpeğin soğuk bir burnu var."
"A1 1 S","not","adverb","değil (olumsuzluk eki)","I am not tired. Yorgun değilim."
"A1 1 S","now","adverb","şimdi","I am busy right now. Şu anda meşgulüm."
"A1 1 S","number","noun","sayı, numara","What is your phone number? Telefon numaran nedir?"
"A1 1 S","O","noun","O harfi","Orange starts with O. Portakal O ile başlar."
"A1 1 S","of","preposition","-in, -nın","A cup of tea, please. Bir fincan çay, lütfen."
"A1 1 S","oh","discourse","oh, ah","Oh, I forgot my keys! Ah, anahtarlarımı unutmuşum!"
"A1 1 S","oh dear","exclamation","vah vah, hay Allah","Oh dear, it is raining. Hay Allah, yağan yağmur var."
"A1 1 S","OK","adjective + discourse","tamam","Are you ready? -OK. Hazır mısın? -Tamam."
"A1 1 S","old","adjective","yaşlı, eski","His car is very old. Onun arabası çok eski."
"A1 1 S","on","preposition of place","üstünde","The book is on the table. Kitap masanın üstünde."
"A1 1 S","one","determiner + pronoun","bir","I have one brother. Bir erkek kardeşim var."
"A1 1 S","onion","noun","soğan","Cut the onions for the soup. Çorba için soğanları doğra."
"A1 1 S","open","adjective + verb","açık / açmak","Open the window, please. Lütfen pencereyi aç."
"A1 1 S","or","conjunction","veya, ya da","Do you want tea or coffee? Çay mı yoksa kahve mi istersin?"
"A1 1 S","orange","adjective + noun","turuncu / portakal","I ate a sweet orange. Tatlı bir portakal yedim."
"A1 1 S","our","possessive adjective","bizim","This is our new house. Bu bizim yeni evimiz."
"A1 1 S","ours","pronoun","bizimki","The blue house is ours. Mavi ev bizimki."
"A1 1 S","P","noun","P harfi","Pen starts with P. Kalem P ile başlar."
"A1 1 S","page","noun","sayfa","Open your book to page ten. Kitabınızı onuncu sayfaya açın."
"A1 1 S","paint","noun + verb","boya / boyamak","He is painting the wall. Duvarı boyuyor."
"A1 1 S","painting","noun","tablo, resim","She bought an oil painting. Bir yağlı boya tablosu satın aldı."
"A1 1 S","paper","noun","kağıt","Write your name on a piece of paper. Bir parça kağıda adını yaz."
"A1 1 S","pardon","interrogative","efendim? (duyamadıkça tekrarlatmak için)","Pardon? I didn't hear you. Efendim? Seni duymadım."
"A1 1 S","park","noun","park","Children are playing in the park. Çocuklar parkta oynuyor."
"A1 1 S","part","noun","parça, kısım","This is the best part of the movie. Bu filmin en iyi kısmı."
"A1 1 S","Pat","noun","özel isim (Pat)","Pat has a red car. Pat'in kırmızı bir arabası var."
"A1 1 S","pea","noun","bezelye","She likes eating green peas. Yeşil bezelye yemeyi sever."
"A1 1 S","pear","noun","armut","The pear is ripe and sweet. Armut olgun ve tatlı."
"A1 1 S","pen","noun","tükenmez kalem","Write with a blue pen. Mavi bir tükenmez kalemle yaz."
"A1 1 S","pencil","noun","kurşun kalem","I need a pencil to draw. Çizim yapmak için kurşun kalem lazım."
"A1 1 S","person/people","noun","kişi / insanlar","Many people attended the concert. Konsere birçok insan katıldı."
"A1 1 S","pet","noun","evcil hayvan","Do you have any pets? Hiç evcil hayvanın var mı?"
"A1 1 S","phone","noun + verb","telefon / telefon etmek","She is talking on the phone. Telefonda konuşuyor."
"A1 1 S","photo","noun","fotoğraf","Look at this family photo. Bu aile fotoğrafına bak."
"A1 1 S","piano","noun","piyano","She plays the piano very well. Çok iyi piyano çalar."
"A1 1 S","pick up","verb","almak, yerden kaldırmak","Pick up that pen from the floor. Yerden o kalemi al."
"A1 1 S","picture","noun","resim","She drew a nice picture. Güzel bir resim çizdi."
"A1 1 S","pie","noun","turta, börek","Mom baked an apple pie. Anne elmalı turta pişirdi."
"A1 1 S","pineapple","noun","ananas","Pineapple is a delicious fruit. Ananas lezzetli bir meyvedir."
"A1 1 S","pink","adjective","pembe","She is wearing a pink dress. Pembe bir elbise giyiyor."
"A1 1 S","plane","noun","uçak","The plane is flying in the sky. Uçak gökyüzünde uçuyor."
"A1 1 S","play","verb","oynamak","Kids love to play outside. Çocuklar dışarıda oynamayı sever."
"A1 1 S","playground","noun","oyun alanı","Children are running in the playground. Çocuklar oyun alanında koşuyor."
"A1 1 S","please","discourse","lütfen","Help me, please. Lütfen bana yardım et."
"A1 1 S","point","verb","işaret etmek, göstermek","Don't point at people. İnsanları parmakla gösterme."
"A1 1 S","polar bear","noun","kutup ayısı","A polar bear lives in the snow. Kutup ayısı karda yaşar."
"A1 1 S","poster","noun","afiş, poster","He put a music poster on his wall. Duvarına bir müzik posteri astı."
"A1 1 S","potato","noun","patates","We need some potatoes for dinner. Akşam yemeği için biraz patatese ihtiyacımız var."
"A1 1 S","purple","adjective","mor","Her favorite color is purple. En sevdiği renk mor."
"A1 1 S","put","verb","koymak","Put the books on the desk. Kitapları masaya koy."
"A1 1 S","Q","noun","Q harfi","Queen starts with Q. Kraliçe Q ile başlar."
"A1 1 S","question","noun","soru","I have a question for you. Sana bir sorum var."
"A1 1 S","R","noun","R harfi","Red starts with R. Kırmızı R ile başlar."
"A1 1 S","radio","noun","radyo","He listens to the news on the radio. Radyodan haberleri dinliyor."
"A1 1 S","read","verb","okumak","I like to read story books. Hikaye kitapları okumayı severim."
"A1 1 S","really","adverb","gerçekten","I am really happy today. Bugün gerçekten çok mutluyum."
"A1 1 S","red","adjective","kırmızı","He has a red bicycle. Onun kırmızı bir bisikleti var."
"A1 1 S","rice","noun","pirinç, pilav","We had chicken and rice. Tavuk ve pilav yedik."
"A1 1 S","ride","verb","binmek","She can ride a horse. At binebilir."
"A1 1 S","right (as in correct)","adjective","doğru","Your answer is right. Cevabın doğru."
"A1 1 S","right","discourse","peki, aynen öyle","Right, let's start our lesson. Peki, dersimize başlayalım."
"A1 1 S","robot","noun","robot","The toy robot can walk. Oyuncak robot yürüyebiliyor."
"A1 1 S","room","noun","oda","My room is clean and tidy. Odam temiz ve düzenli."
"A1 1 S","rubber (US eraser)","noun","silgi","Can I use your rubber? Silgini kullanabilir miyim?"
"A1 1 S","rug","noun","kilim, halı","There is a red rug on the floor. Yerde kırmızı bir kilim var."
"A1 1 S","ruler","noun","cetvel","Draw a line with a ruler. Cetvelle bir çizgi çiz."
"A1 1 S","run","verb","koşmak","Dogs like to run in the park. Köpekler parkta koşmayı sever."
"A1 1 S","S","noun","S harfi","Sun starts with S. Güneş S ile başlar."
"A1 1 S","sad","adjective","üzgün","She looks very sad today. Bugün çok üzgün görünüyor."
"A1 1 S","Sam","noun","özel isim (Sam)","Sam is playing basketball. Sam basketbol oynuyor."
"A1 1 S","sand","noun","kum","The children are playing with sand. Çocuklar kumla oynuyor."
"A1 1 S","sausage","noun","sosis","He eats sausages for breakfast. Kahvaltıda sosis yer."
"A1 1 S","say","verb","söylemek","Say hello to your mother. Annene merhaba de."
"A1 1 S","scary","adjective","korkunç","I don't like scary movies. Korkunç filmleri sevmem."
"A1 1 S","school","noun","okul","Children go to school every day. Çocuklar her gün okula gider."
"A1 1 S","sea","noun","deniz","We swam in the blue sea. Mavi denizde yüzdük."
"A1 1 S","see","verb","görmek","I can see a bird in the tree. Ağaçta bir kuş görebiliyorum."
"A1 1 S","see you","exclamation","görüşürüz","See you tomorrow! Yarın görüşürüz!"
"A1 1 S","sentence","noun","cümle","Make a sentence with this word. Bu kelimeyle bir cümle kur."
"A1 1 S","she","pronoun","o (kadın)","She is reading a magazine. O bir dergi okuyor."
"A1 1 S","sheep (s + pl)","noun","koyun / koyunlar","The sheep are eating grass. Koyunlar ot yiyor."
"A1 1 S","shell","noun","deniz kabuğu","He found a shell on the beach. Kumsalda bir deniz kabuğu buldu."
"A1 1 S","ship","noun","gemi","A large ship is in the port. Limanda büyük bir gemi var."
"A1 1 S","shirt","noun","gömlek","He is wearing a white shirt. Beyaz bir gömlek giyiyor."
"A1 1 S","shoe","noun","ayakkabı","Take off your shoes inside. İçeride ayakkabılarını çıkar."
"A1 1 S","shop (US store)","noun","dükkan, mağaza","She works in a clothing shop. Bir giyim mağazasında çalışıyor."
"A1 1 S","short","adjective","kısa","He has short brown hair. Kısa kahverengi saçları var."
"A1 1 S","shorts","noun","şort","He is wearing sports shorts. Spor şortu giyiyor."
"A1 1 S","show","verb","göstermek","Show me your new drawing. Bana yeni çizimini göster."
"A1 1 S","silly","adjective","aptalca, serseri","Don't ask silly questions. Aptalca sorular sorma."
"A1 1 S","sing","verb","şarkı söylemek","She can sing very well. Çok iyi şarkı söyleyebilir."
"A1 1 S","sister","noun","kız kardeş","My sister is older than me. Kız kardeşim benden büyük."
"A1 1 S","sit","verb","oturmak","Please sit down on the sofa. Lütfen kanepeye otur."
"A1 1 S","skateboard","noun","kaykay","He rides his skateboard to school. Okula kaykayıyla gidiyor."
"A1 1 S","skateboarding","noun","kaykay sürme","Skateboarding is a fun sport. Kaykay sürmek eğlenceli bir spordur."
"A1 1 S","skirt","noun","etek","She is wearing a blue skirt. Mavi bir etek giyiyor."
"A1 1 S","sleep","verb","uyumak","Babies need to sleep well. Bebeklerin iyi uyuması gerekir."
"A1 1 S","small","adjective","küçük","A mouse is a small animal. Fare küçük bir hayvandır."
"A1 1 S","smile","noun + verb","gülümseme / gülümsemek","She gave me a warm smile. Bana sıcak bir gülümseme bahşetti."
"A1 1 S","snake","noun","yılan","Some snakes are dangerous. Bazı yılanlar tehlikelidir."
"A1 1 S","so","discourse","bu yüzden, yani","I was tired, so I went to bed. Yorgundum, bu yüzden yatağa gittim."
"A1 1 S","soccer (UK football)","noun","futbol","Boys are playing soccer outside. Çocuklar dışarıda futbol oynuyor."
"A1 1 S","sock","noun","çorap","Put on your warm socks. Sıcak çoraplarını giy."
"A1 1 S","sofa","noun","kanepe, koltuk","The cat is sleeping on the sofa. Kedi kanepede uyuyor."
"A1 1 S","some","determiner","birkaç, biraz","I need some water. Biraz suya ihtiyacım var."
"A1 1 S","song","noun","şarkı","This is my favorite song. Bu benim en sevdiğim şarkı."
"A1 1 S","sorry","adjective + int","üzgün / affedersiniz","I am sorry for being late. Geç kaldığım için üzgünüm."
"A1 1 S","spell","verb","harf harf söylemek, hecelemek","How do you spell your name? Adını nasıl hecelersin?"
"A1 1 S","spider","noun","örümcek","There is a spider on the wall. Duvarda bir örümcek var."
"A1 1 S","sport","noun","spor","Football is a popular sport. Futbol popüler bir spordur."
"A1 1 S","stand","verb","ayakta durmak","Please stand up when the teacher enters. Öğretmen girdiğinde lütfen ayağa kalk."
"A1 1 S","start","verb","başlamak","The movie starts at eight. Film saat sekizde başlıyor."
"A1 1 S","stop","verb","durmak","Stop at the red light. Kırmızı ışıkta dur."
"A1 1 S","store (UK shop)","noun","mağaza, büyük dükkan","The toy store is open today. Oyuncak mağazası bugün açık."
"A1 1 S","story","noun","hikaye","She told us a funny story. Bize komik bir hikaye anlattı."
"A1 1 S","street","noun","cadde, sokak","They live on a busy street. Kalabalık bir sokakta yaşıyorlar."
"A1 1 S","Sue","noun","özel isim (Sue)","Sue has a cute cat. Sue'nun sevimli bir kedisi var."
"A1 1 S","sun","noun","güneş","The sun is shining brightly. Güneş parıl parıl parlıyor."
"A1 1 S","sweet(s) (US candy)","noun","şekerleme","Children love eating sweets. Çocuklar şekerleme yemeyi sever."
"A1 1 S","swim","verb","yüzmek","I can swim in the pool. Havuzda yüzebilirim."
"A1 1 S","T","noun","T harfi","Train starts with T. Tren T ile başlar."
"A1 1 S","table","noun","masa","The books are on the table. Kitaplar masanın üzerinde."
"A1 1 S","table tennis","noun","masa tenisi","We play table tennis at school. Okulda masa tenisi oynarız."
"A1 1 S","tablet","noun","tablet bilgisayar","He is playing games on his tablet. Tabletinde oyun oynuyor."
"A1 1 S","tail","noun","kuyruk","The dog is wagging its tail. Köpek kuyruğunu sallıyor."
"A1 1 S","take a photo/picture","verb","fotoğraf çekmek","Let's take a picture together. Birlikte bir fotoğraf çekilelim."
"A1 1 S","talk","verb","konuşmak","They are talking about their project. Projeleri hakkında konuşuyorlar."
"A1 1 S","teacher","noun","öğretmen","Our English teacher is very kind. İngilizce öğretmenimiz çok naziktir."
"A1 1 S","teddy (bear)","noun","oyuncak ayı","The baby is holding his teddy bear. Bebek oyuncak ayısını tutuyor."
"A1 1 S","television/TV","noun","televizyon","We watch cartoons on television. Televizyonda çizgi film izliyoruz."
"A1 1 S","tell","verb","anlatmak, söylemek","Tell me a story, please. Lütfen bana bir hikaye anlat."
"A1 1 S","tennis","noun","tenis","She plays tennis on weekends. Hafta sonları tenis oynar."
"A1 1 S","tennis racket","noun","tenis raketi","He bought a new tennis racket. Yeni bir tenis raketi satın aldı."
"A1 1 S","thank you","discourse","teşekkür ederim","Thank you for your help. Yardımın için teşekkür ederim."
"A1 1 S","thanks","discourse","teşekkürler","Thanks for the lovely gift. Güzel hediye için teşekkürler."
"A1 1 S","that","determiner + pron","şu, o","That car is very expensive. O araba çok pahalı."
"A1 1 S","the","determiner","-i, -de (belirli tanımlık)","The sun is hot today. Bugün güneş sıcak."
"A1 1 S","their","possessive adjective","onların","Their house is near the park. Onların evi parkın yakınında."
"A1 1 S","theirs","pronoun","onlarınki","The big house is theirs. Büyük ev onlarınki."
"A1 1 S","them","pronoun","onları, onlara","I saw them at the market. Onları markette gördüm."
"A1 1 S","then","discourse","o zaman, sonra","We had lunch, then we went home. Öğle yemeği yedik, sonra eve gittik."
"A1 1 S","there","adverb","orada","My keys are over there. Anahtarlarım şurada."
"A1 1 S","these","determiner + pron","bunlar","These books are mine. Bu kitaplar benim."
"A1 1 S","they","pronoun","onlar","They are playing football. Onlar futbol oynuyor."
"A1 1 S","thing","noun","şey","There is something in my eye. Gözümde bir şey var."
"A1 1 S","this","determiner + pron","bu","This is my new laptop. Bu benim yeni dizüstü bilgisayarım."
"A1 1 S","those","determiner + pron","şunlar, o","Those shoes look very nice. O ayakkabılar çok güzel görünüyor."
"A1 1 S","throw","verb","fırlatmak, atmak","Throw the ball to me. Topu bana at."
"A1 1 S","tick","noun + verb","tik işareti / tiklemek","Put a tick in the correct box. Doğru kutuya bir tik koy."
"A1 1 S","tiger","noun","kaplan","A tiger is a wild animal. Kaplan vahşi bir hayvandır."
"A1 1 S","to","preposition","-e, -a (yönelme)","I am going to school. Okula gidiyorum."
"A1 1 S","today","adverb + noun","bugün","Today is my birthday. Bugün benim doğum günüm."
"A1 1 S","Tom","noun","özel isim (Tom)","Tom likes eating apples. Tom elma yemeyi sever."
"A1 1 S","tomato","noun","domates","We need fresh tomatoes for the salad. Salata için taze domatese ihtiyacımız var."
"A1 1 S","too","adverb","de, da / çok","I like reading, too. Ben de okumayı severim."
"A1 1 S","toy","noun","oyuncak","The child has many toys. Çocuğun birçok oyuncagi var."
"A1 1 S","train","noun","tren","We travelled to London by train. Londra'ya trenle seyahat ettik."
"A1 1 S","tree","noun","ağaç","Birds are singing in the tree. Kuşlar ağaçta şarkı söylüyor."
"A1 1 S","trousers","noun","pantolon","He is wearing black trousers. Siyah pantolon giyiyor."
"A1 1 S","truck (UK lorry)","noun","kamyon","A red truck is on the road. Yolda kırmızı bir kamyon var."
"A1 1 S","try","noun + verb","denemek","Try to do your best. Elinden gelenin en iyisini yapmaya çalış."
"A1 1 S","T-shirt","noun","tişört","He is wearing a white T-shirt. Beyaz bir tişört giyiyor."
"A1 1 S","TV/television","noun","televizyon","We are watching a movie on TV. Televizyonda bir film izliyoruz."
"A1 1 S","U","noun","U harfi","Umbrella starts with U. Şemsiye U ile başlar."
"A1 1 S","ugly","adjective","çirkin","The monster in the story was ugly. Hikayedeki canavar çirkindi."
"A1 1 S","under","preposition","altında","The ball is under the chair. Top sandalyenin altında."
"A1 1 S","understand","verb","anlamak","I understand your problem. Sorununu anlıyorum."
"A1 1 S","us","pronoun","bizi, bize","She gave us some candy. O bize biraz şeker verdi."
"A1 1 S","V","noun","V harfi","Village starts with V. Köy V ile başlar."
"A1 1 S","very","adverb","çok","The water is very cold. Su çok soğuk."
"A1 1 S","W","noun","W harfi","Water starts with W. Su W ile başlar."
"A1 1 S","walk","verb","yürümek","We like to walk in the park. Parkta yürümeyi severiz."
"A1 1 S","wall","noun","duvar","There is a picture on the wall. Duvarda bir resim var."
"A1 1 S","want","verb","istemek","I want to learn English. İngilizce öğrenmek istiyorum."
"A1 1 S","watch","noun + verb","kol saati / izlemek","I like to watch movies. Film izlemeyi severim."
"A1 1 S","water","noun","su","Drink plenty of water every day. Her gün bol bol su iç."
"A1 1 S","watermelon","noun","karpuz","We ate a sweet watermelon in summer. Yazın tatlı bir karpuz yedik."
"A1 1 S","wave","verb","el sallamak","She waved goodbye to her friends. Arkadaşlarına el sallayarakveda etti."
"A1 1 S","we","pronoun","biz","We are learning English. Biz İngilizce öğreniyoruz."
"A1 1 S","wear","verb","giymek","She is wearing a blue coat. Mavi bir mont giyiyor."
"A1 1 S","well","discourse","şey, peki","Well, I don't know the answer. Şey, cevabı bilmiyorum."
"A1 1 S","well done","discourse","aferin!","Well done! You passed the exam. Aferin! Sınavı geçtin."
"A1 1 S","what","interrogative","ne","What is your name? Adın ne?"
"A1 1 S","where","interrogative","nerede","Where do you live? Nerede yaşıyorsun?"
"A1 1 S","which","interrogative","hangi","Which color do you prefer? Hangi rengi tercih edersin?"
"A1 1 S","white","adjective","beyaz","The snow is white. Kar beyazdır."
"A1 1 S","who","interrogative","kim","Who is your best friend? En iyi arkadaşın kim?"
"A1 1 S","whose","interrogative","kimin","Whose book is this? Bu kitap kimin?"
"A1 1 S","window","noun","pencere","Open the window for some fresh air. Temiz hava için pencereyi aç."
"A1 1 S","with","preposition","ile","I live with my family. Ailemle birlikte yaşıyorum."
"A1 1 S","woman/women","noun","kadın / kadınlar","Two women are talking outside. Dışarıda iki kadın konuşuyor."
"A1 1 S","word","noun","kelime, sözcük","Translate this word into Turkish. Bu kelimeyi Türkçeye çevir."
"A1 1 S","would like","verb","istemek (nezaketle)","I would like a cup of tea, please. Bir fincan çay istiyorum, lütfen."
"A1 1 S","wow","exclamation","vay be!","Wow, that is a fast car! Vay be, bu çok hızlı bir araba!"
"A1 1 S","write","verb","yazmak","Write your name on the paper. Adını kağıda yaz."
"A1 1 S","X","noun","X harfi","X-ray starts with X. Röntgen X ile başlar."
"A1 1 S","Y","noun","Y harfi","Yellow starts with Y. Sarı Y ile başlar."
"A1 1 S","year","noun","yıl, sene","There are twelve months in a year. Bir yılda on iki ay vardır."
"A1 1 S","yellow","adjective","sarı","The sun is yellow. Güneş sarıdır."
"A1 1 S","yes","adverb","evet","Yes, I want to come. Evet, gelmek istiyorum."
"A1 1 S","you","pronoun","sen, siz","How are you today? Bugün nasılsın?"
"A1 1 S","young","adjective","genç","He is a young and talented player. O genç ve yetenekli bir oyuncu."
"A1 1 S","your","possessive adjective","senin, sizin","Is this your book? Bu senin kitabın mı?"
"A1 1 S","yours","pronoun","seninki, sizinki","This pen is yours. Bu kalem seninki."
"A1 1 S","Z","noun","Z harfi","Zebra starts with Z. Zebra Z ile başlar."
"A1 1 S","zebra n zoo n","noun","zebra ve hayvanat bahçesi","We saw a zebra at the zoo. Hayvanat bahçesinde bir zebra gördük."
"A1 2 M","above","preposition","yukarısında, üzerinde","The plane is flying above the clouds. Uçak bulutların üzerinde uçuyor."
"A1 2 M","address","noun","adres","What is your home address? Ev adresin nedir?"
"A1 2 M","afraid","adjective","korkmuş","Don't be afraid of the dark. Karanlıktan korkma."
"A1 2 M","after","preposition","sonra","We will leave after lunch. Öğle yemeğinden sonra ayrılacağız."
"A1 2 M","age","noun","yaş","What is your age? Yaşın kaç?"
"A1 2 M","all","adj + adv + det + pron","tüm, bütün, hepsi","All students passed the exam. Tüm öğrenciler sınavı geçti."
"A1 2 M","all right","adj + adv","peki, pekala, iyi","Are you feeling all right? Kendini iyi hissediyor musun?"
"A1 2 M","along","preposition","boyunca","We walked along the river. Nehir boyunca yürüdük."
"A1 2 M","always","adverb","her zaman, daima","I always drink coffee in the morning. Sabahları her zaman kahve içerim."
"A1 2 M","another","det + pron","bir diğer, başka bir","Can I have another cup of tea? Başka bir fincan çay alabilir miyim?"
"A1 2 M","any","det + pron","hiç, herhangi bir","Do you have any questions? Hiç sorunuz var mı?"
"A1 2 M","app","noun","uygulama","I downloaded a new language app. Yeni bir dil uygulaması indirdim."
"A1 2 M","around","preposition","etrafında","They walked around the park. Parkın etrafında yürüdüler."
"A1 2 M","asleep","adjective","uykuda","The baby is fast asleep. Bebek derin bir uykuda."
"A1 2 M","at","preposition of time","-de, -da (zaman edatı)","The train leaves at five o'clock. Tren saat beş te kalkıyor."
"A1 2 M","aunt","noun","hala, teyze","My aunt lives in Izmir. Teyzem İzmir'de yaşıyor."
"A1 2 M","awake","adjective","uyanık","He was wide awake at midnight. Gece yarısı uyanıktı."
"A1 2 M","back","adj + adv + n","arka, sırt, geri","He carried a bag on his back. Sırtında bir çanta taşıyordu."
"A1 2 M","bad","adjective","kötü","Smoking is bad for your health. Sigara sağlığınız için kötü."
"A1 2 M","badly","adverb","kötü bir şekilde","He was badly hurt in the accident. Kazada ağır yaralandı."
"A1 2 M","balcony","noun","balkon","We sat on the balcony in the evening. Akşam balkonda oturduk."
"A1 2 M","band (music)","noun","müzik grubu","They formed a rock music band. Bir rock müzik grubu kurdular."
"A1 2 M","basement","noun","bodrum katı","We keep old boxes in the basement. Bodrumda eski kutuları saklıyoruz."
"A1 2 M","bat","noun","yarasa","A bat flies at night. Bir yarasa gece uçar."
"A1 2 M","be called","verb","adlandırılmak, adı olmak","What is this flower called? Bu çiçeğin adı nedir?"
"A1 2 M","beard","noun","sakal","He has a long white beard. Uzun beyaz bir sakalı var."
"A1 2 M","because","conjunction","çünkü","I stayed home because it was raining. Evde kaldım çünkü yağmur yağıyordu."
"A1 2 M","before","preposition","önce","Wash your hands before eating. Yemekten önce ellerini yıka."
"A1 2 M","below","preposition","altında, aşağıda","Sign your name on the line below. Adınızı aşağıdaki çizgiye imzalayın."
"A1 2 M","best","adj + adv","en iyi","She is my best friend. O benim en iyi arkadaşım."
"A1 2 M","better","adj + adv","daha iyi","I feel much better today. Bugün kendimi çok daha iyi hissediyorum."
"A1 2 M","blanket","noun","battaniye","Cover yourself with a warm blanket. Sıcak bir battaniyeye sarın."
"A1 2 M","blond(e)","adjective","sarışın","She has beautiful blond hair. Güzel sarı saçları var."
"A1 2 M","boring","adjective","sıkıcı","I don't like reading boring books. Sıkıcı kitaplar okumayı sevmem."
"A1 2 M","both","det + pron","ikisi de","Both of them like playing tennis. İkisi de tenis oynamayı sever."
"A1 2 M","bottle","noun","şişe","Drink a bottle of water. Bir şişe su iç."
"A1 2 M","bottom","adj + n","alt, dip","Write your name at the bottom of the page. Adını sayfanın altına yaz."
"A1 2 M","bowl","noun","kase","He ate a bowl of hot soup. Bir kase sıcak çorba içti."
"A1 2 M","brave","adjective","cesur","The brave fireman saved the cat. Cesur itfaiyeci kediyi kurtardı."
"A1 2 M","break","noun","ara, mola","Let's take a short break. Kısa bir mola verelim."
"A1 2 M","brilliant","adj + exclamation","parlak, harika","That is a brilliant idea! Bu harika bir fikir!"
"A1 2 M","bring","verb","getirmek","Bring me a glass of water, please. Lütfen bana bir bardak su getir."
"A1 2 M","build","verb","inşa etmek","They are building a new house. Yeni bir ev inşa ediyorlar."
"A1 2 M","building","noun","bina","This is a very old stone building. Bu çok eski bir taş bina."
"A1 2 M","bus station","noun","otogâr, otobüs istasyonu","We met at the central bus station. Merkez otogarında buluştuk."
"A1 2 M","bus stop","noun","otobüs durağı","I am waiting at the bus stop. Otobüs durağında bekliyorum."
"A1 2 M","busy","adjective","meşgul","I am very busy right now. Şu anda çok meşgulüm."
"A1 2 M","buy","verb","satın almak","I want to buy a new computer. Yeni bir bilgisayar satın almak istiyorum."
"A1 2 M","by","preposition","tarafından, ile","The book was written by an author. Kitap bir yazar tarafından yazıldı."
"A1 2 M","café","noun","kafe","Let's meet at the corner café. Köşedeki kafede buluşalım."
"A1 2 M","cage","noun","kafes","The bird flew out of its cage. Kuş kafesinden uçtu."
"A1 2 M","call","verb","aramak, telefon etmek","I will call you later. Seni daha sonra arayacağım."
"A1 2 M","car park","noun","otopark","We parked our car in the car park. Arabamızı otoparka park ettik."
"A1 2 M","careful","adjective","dikkatli","Be careful when you cross the street. Caddeden geçerken dikkatli ol."
"A1 2 M","carefully","adverb","dikkatlice","Listen to the instructions carefully. Talimatları dikkatlice dinle."
"A1 2 M","carry","verb","taşımak","He is carrying a heavy box. Ağır bir kutu taşıyor."
"A1 2 M","catch (e.g. a bus)","verb","yakalamak (otobüse yetişmek)","I need to catch the next bus. Sonraki otobüse yetişmem gerekiyor."
"A1 2 M","CD","noun","CD (kompakt disk)","He listens to music on CDs. CD'lerden müzik dinliyor."
"A1 2 M","centre (US center)","noun","merkez","We walked to the city centre. Şehir merkezine yürüdük."
"A1 2 M","change","verb","değiştirmek","I need to change my clothes. Kıyafetlerimi değiştirmem gerekiyor."
"A1 2 M","Charlie","noun","özel isim (Charlie)","Charlie has a brown dog. Charlie'nin kahverengi bir köpeği var."
"A1 2 M","cheese","noun","peynir","I like eating cheese for breakfast. Kahvaltıda peynir yemeyi severim."
"A1 2 M","cinema","noun","sinema","Let's go to the cinema tonight. Bu gece sinemaya gidelim."
"A1 2 M","circle","noun","daire, çember","Draw a big circle on the paper. Kağıda büyük bir daire çiz."
"A1 2 M","circus","noun","sirk","We saw clowns at the circus. Sirkte palyaçolar gördük."
"A1 2 M","city","noun","şehir, kent","London is a very big city. Londra çok büyük bir şehirdir."
"A1 2 M","city/town centre","noun","şehir/kasaba merkezi","The shops are in the city centre. Mağazalar şehir merkezindedir."
"A1 2 M","Clare","noun","özel isim (Clare)","Clare is reading a book. Clare kitap okuyor."
"A1 2 M","clever","adjective","akıllı, zeki","She is a very clever student. O çok akıllı bir öğrencidir."
"A1 2 M","climb","verb","tırmanmak","The cat climbed up the tree. Kedi ağaca tırmandı."
"A1 2 M","cloud","noun","bulut","There is not a single cloud in the sky. Gökyüzünde tek bir bulut yok."
"A1 2 M","cloudy","adjective","bulutlu","It is a cloudy day today. Bugün bulutlu bir gün."
"A1 2 M","clown","noun","palyaço","The clown made the children laugh. Palyaço çocukları güldürdü."
"A1 2 M","coat","noun","mont, palto","Put on your coat, it is cold outside. Paltonu giy, dışarısı soğuk."
"A1 2 M","coffee","noun","kahve","I drink a cup of coffee every morning. Her sabah bir fincan kahve içerim."
"A1 2 M","cold","adj + noun","soğuk / soğuk algınlığı","The water is very cold. Su çok soğuk."
"A1 2 M","come on","exclamation","hadi, çabuk ol","Come on, we are going to be late. Hadi, geç kalacağız."
"A1 2 M","comic","noun","çizgi roman","He is reading a funny comic. Komik bir çizgi roman okuyor."
"A1 2 M","comic book","noun","çizgi roman kitabı","She bought a new comic book. Yeni bir çizgi roman kitabı aldı."
"A1 2 M","cook","noun + var","aşçı / yemek pişirmek","My father likes to cook dinner. Babam akşam yemeği pişirmeyi sever."
"A1 2 M","cough","noun","öksürük","He has a bad cough today. Bugün şiddetli bir öksürüğü var."
"A1 2 M","could (as in past of can)","verb","-ebildi (can kelimesinin geçmiş zamanı)","He could swim when he was five. Beş yaşındayken yüzebiliyordu."
"A1 2 M","country","noun","ülke","France is a European country. Fransa bir Avrupa ülkesidir."
